principal_component_1,principal_component_2,cluster
0.23079702331248034,-1.0972807554786896,1
-0.6080322533456388,-0.6408862497941733,1
-1.6412463510978879,-1.076206184704565,1
-0.5836578415213255,-0.6535800609957932,1
-1.157220989989234,0.628083093695229,1
1.6864800224069463,-0.04526517434859925,2
-1.866918628286785,-0.9116591401338501,1
-0.5304975955685372,-1.207757873105389,1
-0.8419055085956139,-0.3706842495718958,1
-0.6389719804790297,-0.6003209789185023,1
0.12155324048824791,-1.45340074341079,1
-0.5640256298833473,1.0851624332109002,0
-0.3594304638905167,-0.8259102089459684,1
-0.9022829973017331,-0.28516620011613847,1
-0.7046578856193165,-0.5075396549012587,1
-0.9119905506428756,-0.4222631587883547,1
-0.5662391865486629,2.27349320068717,0
1.1748670241998076,1.2426529458468725,0
1.3462112651715539,0.47002394671986186,2
-0.2597904610571944,-0.75738288514299,1
3.0702904734951297,-0.5625183179525677,2
-0.5010436699701585,-0.6508735084850389,1
-1.6930860677080946,-0.2946685470639033,1
-1.9050851835895302,-0.8484760531617953,1
-0.6250347236925289,-0.5028755793006847,1
-0.21816960717783915,3.4525766305333483,0
-0.6686138741888388,2.167389663442048,0
-0.18417111940059863,-1.1266190879354634,1
1.39138114259585,0.19886265154405044,2
1.5367429438106173,-0.49849163581203093,2
-0.7920592425042945,-1.2885372248758495,1
0.23249821243083124,3.084343109005173,0
0.02164633259877981,2.0080269081149886,0
-0.7451578555506799,-1.017539469932445,1
0.09746288874149099,-1.2043496164230991,1
0.9432459536299751,2.023083411465173,0
-0.17002930839479954,-1.2632049181045937,1
1.4463932244820814,0.09528202298040095,2
2.7571450010395195,-0.5175447249117869,2
-1.4575923064338554,-0.7177023206456775,1
-0.5366976629803005,0.32825659311210853,1
1.841413216902217,0.0126609744405929,2
-0.026174917220796887,2.873293877654748,0
-0.07980912045417593,-0.6216238972084287,1
-2.0452808442250503,-0.34433631528792047,1
-1.295386364940626,2.375785952947266,0
0.7188135454009534,0.21259325077644406,2
1.933750703734455,-0.11000059745095553,2
0.3258490470125526,-0.7385381901597279,1
-0.3774790319011147,-0.5345980737753784,1
-1.8660156968815007,-0.14740509642050026,1
-0.9712106045838342,0.966437371568765,1
-1.066770070774258,-0.572288686475802,1
-0.8556426698935573,-0.8862797198512988,1
0.05782868779780573,0.7269755034878489,0
-0.8799021138911571,-0.8847284280736979,1
0.025683822797749518,1.8782421897984618,0
-0.25733043607614237,-0.8395575903471805,1
-0.9527797593123852,-0.7876146973262735,1
-0.49862894274808345,-1.392258055583759,1
